; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
388	0388	L
3894	3894	L
3895	3895	L
3899	3899	L
39	0039	L
3900	3900	L
3901	3901	L
3933	3933	L
3934	3934	L
3935	3935	L
3936	3936	L
3937	3937	L
3938	3938	L
3939	3939	L
3939p68	3939p68	L
3939p90	3939p90	L
3939p91	3939p91	L
3940	3940	L
3941	3941	L
3942	3942	L
3942	3942a	L
3942b	3942b	L
3942c	3942	L
3943	3943	L
3943	3943a	L
3943b	3943b	L
3944	3944	L
3945	3945	L
3946	3946	L
3947	3947	L
3949	3949	L
3950	3950	L
3951	3951	L
3956	3956	L
3957	3957	L
395701	395701	L
3957	3957a	L
3957b	3957b	L
3958	3958	L
3959	3959	L
396	0396	L
3960	3960	L
3961	3961	L
3962	3962	L
3962	3962a	L
3962b	3962b	L
3963	3963	L
4	0004	L
40	0040	LS
4006	4006	L
401	0401	L
4019	4019	L
401926	401926	L
4022	4022	L
4023	4023	L
4032	4032	L
4032	4032a	L
4032b	4032b	L
4033	4033	L
4034	4034	L
40344	40344	L
40345	40345	L
4035	4035	L
4036	4036	L
40379	40379	L
40490	40490	L
40620	40620	L
407	0407	L
4070	4070	L
407026	407026	L
4073	4073	L
4079	4079	L
407924	407924	L
408	0408	L
4081	4081	L
4081	4081a	L
4081b	4081b	L
4082	4082	L
4083	4083	L
4084	4084	L
4085	4085	L
408523	408523	L
408526	408526	L
4085	4085a	L
4085b	4085b	L
4085c	4085	L
4089	4089	L
40902	40902	L
4092	4092	L
4092	4092a	L
4092b	4092b	L
4093	4093	L
4093	4093a	L
4093b	4093b	L
4095	4095	L
4106	4106	L
4107623	4107623	L
4107767	4107767	L
4109810	4109810	L
4118782	4118782	L
4119350	4119350	L
412	0412	L
4120158	4120158	L
4121715	4121715	L
41239	41239	L
4125254	4125254	L
4140801	4140801	L
4143	4143	L
4143005	4143005	L
4144485	4144485	L
4150	4150	L
4150p00	4150p00	L
4150p01	4150p01	L
4150p03	4150p03	L
4150p04	4150p04	L
4151	4151	L
4151	4151a	L
4151b	4151b	L
41531	41531	L
41532	41532	L
41539	41539	L
4160689	4160689	L
4161	4161	LS
4162	4162	L
4162628	4162628	L
4162916	4162916	L
4162p01	4162p01	L
4162p02	4162p02	L
4162p03	4162p03	L
4162p04	4162p04	L
4162p05	4162p05	L
4162p06	4162p06	L
4162p07	4162p07	L
4162p08	4162p08	L
4162p09	4162p09	L
4162p0	4162p0a	L
4162p0b	4162p0b	L
4162p0c	4162p0	L
4162p0	4162p0d	L
4162p0e	4162p0e	L
4162p0g	4162p0g	L
4162p0l	4162p0l	L
4162p0o	4162p0o	L
4162p0p	4162p0p	L
4162p0q	4162p0q	L
4162p0r	4162p0r	L
4162p0s	4162p0s	L
4162p0	4162p0t	L
4162p0u	4162p0u	L
4162p0v	4162p0v	L
4162p0w	4162p0w	L
4162p0x	4162p0x	L
4162p0y	4162p0y	L
4162p0z	4162p0z	L
4162p10	4162p10	L
4162p11	4162p11	L
4162p12	4162p12	L
4162p13	4162p13	L
4162p14	4162p14	L
4162p15	4162p15	L
4162p16	4162p16	L
4162p17	4162p17	L
4162p19	4162p19	L
41677	41677	L
41678	41678	L
4168	4168	L
4168950	4168950	L
4169	4169	L
41747	41747	L
41748	41748	L
4175	4175	L
4176	4176	L
41763	41763	L
41764	41764	L
41765	41765	L
41767	41767	L
41768	41768	L
41769	41769	L
41770	41770	L
4177932	4177932	L
4178	4178	L
4181	4181	L
4181142	4181142	L
4181p01	4181p01	L
4181p02	4181p02	L
4181p03	4181p03	L
4181p04	4181p04	L
4181p05	4181p05	L
4181p06	4181p06	L
4181p07	4181p07	L
4182	4182	L
4182p01	4182p01	L
4182p02	4182p02	L
4182p03	4182p03	L
4182p04	4182p04	L
4182p05	4182p05	L
4182p06	4182p06	L
4182p07	4182p07	L
4183	4183	L
4185	4185	L
4186	4186	L
4187	4187	L
42003	42003	L
4201	4201	L
4202	4202	L
42022	42022	L
42023	42023	L
4203	4203	L
4204	4204	L
4206482	4206482	L
4206504	4206504	L
4207	4207	L
4208	4208	L
4209	4209	L
4210531	4210531	L
4210633	4210633	L
4210698	4210698	L
4210	4210a	L
4211	4211	L
4211069	4211069	L
4211119	4211119	L
4211385	4211385	L
4211395	4211395	L
4211396	4211396	L
4211477	4211477	L
4211483	4211483	L
4211536	4211536	L
4211550	4211550	L
4211573	4211573	L
4211622	4211622	L
